Scenario rank order (by severity),Severity,Crime,Crime type,Crime description,Description (base scenario),Physical evidence inculpatory,Physical evidence exculpatory,Physical evidence ambiguous,Digital/doc inculpatory,Digital/doc exculpatory,Digital/doc ambiguous,Eyewitness inculpatory,Eyewitness exculpatory,Eyewitness ambiguous,Character bad,Character good,Type of character evidence,Drafted by,Notes on crime type & severity,Notes on source & text 
22,E,Kidnapping 2nd degree,"Assault, kidnapping",Kidnapping a newborn.,Patty Garcia has been accused of kidnapping. The state alleges that she posed as a hospital employee and abducted a newborn from his mother’s hospital room while the mother was sleeping.,A crime lab analyst testified that the newborn’s DNA was found in Ms. Garcia’s home.,"A crime lab analysis showed that no DNA from the mother’s hospital room matches Ms. Garcia’s, and there was no DNA from the baby in Ms. Garcia’s home or car.",Ms. Garcia’s DNA matched DNA from a bathroom near the hospital’s emergency room doors.,A digital evidence expert testified that hospital security cameras show Ms. Garcia leaving the hospital with a baby in her arms.,A digital evidence expert testified that hospital security cameras show Ms. Garcia leaving the hospital empty handed while the mother was sleeping.,"Hospital security cameras show a woman loading a baby into a car’s back seat, but neither the driver nor the license number are clear. ",A patient smoking near the hospital’s back exit door testified to seeing a woman he identified as Ms. Garcia leave the hospital with a crying baby.,A nurse testified she saw Ms. Garcia visiting a patient on a different floor when the alarm alerted nurses staff that a baby had been taken from the maternity floor.,"The attendant who raised the hospital parking gate for Ms. Garcia to leave testified that what looked like a baby carrier was in the back seat, but could not see if it held a baby. ",Ms. Garcia was previously convicted for attempted carjacking.,A prominent leader in the community has testified that his opinion of Ms. Garcia after knowing her for years is that she is a very truthful person.,Truthfulness,Artemis,,
23,D,Voluntary Manslaughter,Homicide,Shooting and killing their spouse and one other person.,"Isla MacKillop is charged with killing her husband and a woman. The prosecution alleges that after finding them in bed together when she returned early from a business trip, Mrs. MacKillop grabbed her husband’s loaded pistol from the dresser and shot and killed them.",An expert testified that the only fingerprints on the pistol matched Mrs. MacKillop’s.,An expert says that fingerprints on the pistol match the husband and an unknown person – not Mrs. MacKillop,An expert testifies that a smudged fingerprint on the pistol does not have enough similarities to Mrs. MacKillop’s fingerprint to know if it’s hers. ,Security video near Mrs. MacKillop’s house shows her entering 15 minutes before a neighbor heard shots.,Airport video shows Mrs. MacKillop in the airport when the shots were heard at her apartment. ,"Security video shows someone who might be Mrs. MacKillop going into the house 10 minutes before the shots, but the video is not clear enough to be sure. ",An eyewitness testified that Mrs. MacKillop got out of her car in her driveway shortly before the shooting.,An eyewitness saw a someone other than Mr. MacKillop going into the house shortly before shots were heard.,"An eyewitness saw someone who looked like Mrs. MacKillop getting out of a cab in front of the house just before the shooting, but can’t be sure it was Mrs. MacKillop.",Mrs. MacKillop's neighbor says that Mrs. MacKillop is a violent person.,Mrs. MacKillop's neighbor says that Mrs. MacKillop is a peaceful and non-violent person. ,Propensity,Don,,
24,C,False Pretenses $100K+,Fraud & bribery,Running a fraudulent mortgage-repayment scheme.,"Maizy Franklin is accused of running a fraudulent mortgage-repayment scheme. Prosecutors allege she told homeowners that a new law would save them money by refinancing their mortgages through her company; by the time she was caught, 200 homeowners had paid her fake company over $3 million in refinancing fees and mortgage payments. ",Ms. Franklin’s fingerprint was found on a collection notice from the fake company.,An expert testified that fingerprints on collection notices from the fake company are not Ms. Franklin’s. ,"The FBI data bank identified ten people, including Ms. Franklin, with prints that could match those on the fake company’s collection notices and letterhead mailed to the victims. ","Ms. Franklin’s computer contained spreadsheets with names, mortgage policy numbers, and payment records of 20 of the defrauded homeowners. ","Ms. Franklin’s computer contained meticulous records for two legitimate businesses she owns, plus her personal budget and tax records, but nothing connected to the fake company. ","Ms. Franklin’s laptop shows a Google search for records of foreclosure notices, along with her bank statements showing donations of $100 every month to homeless shelters.","A print-shop employee identified Ms. Franklin from a lineup as the person who picked up business cards with the fake company’s logo, name, and address. ","An insurance agent in the same building as the fake company saw several people in the fake company’s office, but never Ms. Franklin. ",An insurance agent in the same building as the fake company saw someone who “might or might not” have been Ms. Franklin going into the fake company. ,Ms. Franklin's former roommate says in her opinion Ms. Franklin is not an honest person.,Ms. Franklin's employer says in his opinion Ms. Franklin is an honest person.,Propensity,Pate,Formerly named Fraud,Source: https://www.fbi.gov/contact-us/field-offices/losangeles/news/press-releases/riverside-man--office-manager-indicted-on-federal-charges-alleging-they-operated-a-fraudulent-debt-elimination-scheme-that-targeted-distressed-homeowners-during-the-housing-crisis
25,B2,Murder 2nd degree,Homicide,Strangling someone to death.,"Rae Sanderson is charged with second degree murder. Prosecutors say Mr. Sanderson choked his wife in their home, and that she later died as a result.",A forensic analysist testified that DNA under the wife’s fingernails match Mr. Sanderson’s. ,A forensic analysist testified that DNA from under the wife’s fingernails is not Mr. Sanderson’s.,A forensic analysist testified that DNA found under the wife’s fingernails were a partial match with Mr. Sanderson’s DNA and with someone else in the DNA database.,Text messages sent to the wife from Mr. Sanderson threaten to kill her for cheating on him.,Photos from the website of a nightclub three states away from the Sanderson home show Mr. Sanderson at the club at the time the wife was choked.,Security camera footage shows Mr. Sanderson at a nightclub a few blocks away from the Sanderson home 20 minutes before his wife was choked.,"A neighbor heard the wife‘s screams and called 911. He said he also saw Mr. Sanderson leaving the house minutes later, just before police arrived and found her body.","An eyewitness testified to looking through a window of Sanderson home after hearing screams, and saw someone taller and heavier than Mr. Sanderson choking Mrs. Sanderson.","An eyewitness testified that a car the same color as Mr. Sanderson’s parked outside the Sanderson home in the hours before the wife’s body was found, but he is not sure it was same make or model. ",Mr. Sanderson's former girlfriend testified he had a tendency to violence when he was angry.,Neighbors testified that Mr. Sanderson has a reputation of being a loving family man.,Propensity,Artemis,,
26,B1,Mfg Biological weapon,Misc.,Manufacturing a biological weapon.,"Professor George Patterson, a chemistry professor, is charged with manufacturing a chemical weapon of mass destruction. The Prosecution alleges that he manufactured Novichok, one of the world’s deadliest nerve agents. After a utility worker reported suspicious activity near an abandoned car dealership, sheriff’s deputies entered the building and found containers of Novichok and syringes in a makeshift laboratory. ",DNA from a Red Bull can found in the makeshift laboratory matches Professor Patterson. ,Three DNA samples from a soda can and two tissues found in the makeshift laboratory came from an unidentified person other than Professor Patterson.,"DNA from hairs found on goggles in the makeshift laboratory are similar to Professor Patterson’s, but not clearly enough for a definite identification. ",Professor Patterson’s computer contains news stories about Russian agents poisoned with Novichok and a search for scientific papers about Novichok. ,Professor Patterson’s credit card records show that he was on sabbatical in Europe from the University for the four months up through when the lab was discovered. ,Professor Patterson’s computer shows Google searches for technical research articles about the class of chemicals that includes Novichok.,The utility worker who reported the suspicious activity testified that Professor Patterson is the man he saw lugging boxes marked “hazardous chemicals” into the building.,The utility worker who reported the suspicious activity testified that Professor Patterson is not the man he saw lugging boxes marked “hazardous chemicals” into the building.,"The worker who reported the suspicious activity says Professor Patterson is the height and build of the man he saw lugging “Hazardous Chemicals” boxes into the building, but he could not see the man’s face.",Professor Patterson was previously convicted of communicating threats.,The director of the University Buddhist center testifies that Professor Patterson is highly regarded as a truthful person.,Truthfulness,Pate,,Source: http://science.sciencemag.org/content/359/6382/1314/tab-pdf
27,B1,Rape 2nd forceable,Sex crimes,Raping a classmate.,"Brett Gilmore is charged with raping a college classmate. Prosecutors allege Mr. Gilmore cornered the woman at a late-night fraternity party, where he pinned her down on his bed and raped her. ",A crime lab analyst testified that semen from the rape kit matches Mr. Gilmore.,A crime lab analyst testified that semen from the rape kit does not match Mr. Gilmore.,A crime lab analyst testified that semen from the rape kit showed partial match to Mr. Gilmore but was contaminated during the collection process.,A digital devices expert testified that texts from Mr. Gilmore’s phone the next morning to his frat brothers joke about the woman putting up a good fight but that Mr. Gilmore ultimately “won the war.”,"A digital devices expert testified that the next morning, the woman text-messaged Mr. Gilmore photos of herself in sexual poses and said she looks forward to seeing him soon.",A text message next morning from Mr. Gilmore to the woman apologized for upsetting her the night before.,A student visiting from another school testified she saw Mr. Gilmore pull the woman into his bedroom against her will.,"A store owner near the frat house testified that when closing his store early that evening, he saw Mr. Gilmore passed out in an alley, and next morning saw him still there and shook him awake.","The woman testified that Mr. Gilmore looks like the guy who raped her, but she was too intoxicated to be sure.",Mr. Gilmore’s ex-girlfriend testified that he has a reputation for being violent.,Mr. Gilmore’s Eagle Scout group leader testified about Mr. Gilmore’s reputation for peacefulness and non-violence. ,Propensity,Artemis,,
28,A,Felony Murder,Homicide,Killing someone by burning down a building.,"Mohammed Farooqi is charged with first degree murder. The prosecution alleges he was hired to burn down a building, which he did at 1:00 A.M. on March 11. A homeless man sleeping in the building was killed in the fire. ",An expert said that two fingerprints on the burned building’s rear door match Mr. Farooqui’s.,An expert testified that no fingerprints at the scene matched Mr. Farooqui’s.,"An expert said that a partial fingerprint on the building’s rear door might be Mr. Farooqui’s, but there were not enough similarities to be sure. ",A receipt was found in Mr. Farooqui’s home for a five-gallon gas can of the same kind found in the fire’s debris.,"Two receipts for drinks from a bar on the night of the fire were found in Mr. Farooqui's apartment. One was from before the fire was set, and the other from after the fire was set.","A receipt was found in Mr. Farooqui’s home for five gallons of gas, but there’s no date on the receipt.",An eyewitness said that she saw someone she later identified as Mr. Farooqui carrying a gas can near the building shortly before the fire.,An eyewitness said he saw Mr. Farooqui in a bar from before until after the time the fire was set. ,"An eyewitness saw someone who might have been Mr. Farooqui with a gas can near the building just before the fire, but cannot be sure it was Mr. Farooqui.",Mr. Farooqui's former employer testified that in his opinion Mr. Farooqui was not a law-abiding person.,Mr. Farooqui’s long-time employer testified to his excellent character for being law-abiding.,Propensity,Don,,
29,A,Murder 1st degree,Homicide,Shooting and killing someone in the back of a car.,"Jerome Harper is charged with first degree murder. The prosecution alleges he hid in the back of a car parked near the apartment of his ex-girlfriend’s new lover, and at 2:00 A.M. when the new lover left the apartment and got into his driver’s seat, Mr. Harper fatally shot him from behind.",DNA from a hair found in the car’s back seat matches Mr. Harper.,No fingerprints from the car match Mr. Harper’s.,A fingerprint expert testified that a smudged fingerprint from the back seat could be Mr. Harper’s but he cannot be certain. ,Cellphone tower records place Mr. Harper’s phone in the area of the shooting shortly before 2 A.M.,Cellphone tower records place Mr. Harper’s phone 20 miles away at the time of the shooting.,"Cellphone tower records show Mr. Harper’s phone near the apartment until midnight, but show no location after that time.",A witness walking a dog identified Mr. Harper as the man who got out of a van near the area of the shooting at around midnight. ,A man who heard a shot at 2 a.m. says the man he saw leave the car was not Mr. Harper. ,A witness who saw a man run from the car is not sure whether it was Mr. Harper. ,Mr. Harper's ex-wife testified that in her opinion he was a violent person. ,"Mr. Harper testified that he is peaceful and non-violent, and would never hurt another human being.",Propensity,Don,,
30,A,Murder 1st - 4 counts,Homicide,Driving an SUV into a crowd and killing four people.,"Montel Juval is accused of driving a rented SUV into a crowd on a pedestrian walkway filled with shoppers and tourists. Prosecutors claim he sped along the walkway for a mile, swerving to hit people as they ran. Three adults and a seven-year-old boy were killed.",An expert testified that a palm print from the driver’s door matches Mr. Juval.,An expert testified that none of the fingerprints in the SUV match Mr. Juval.,An expert testified there are not enough similarities between Mr. Juval’s palm print and a palm print on the SUV’s door for a conclusive match. ,"An expert testified that Mr. Juval’s computer had a map of the mall with a note, “No place to hide.”",Selfies on Mr. Juval’s phone show he was at a wine bar two miles away when the SUV drove onto the walkway. ,Mr. Juval’s computer contains a map of the walkway with shopping hours and driving directions to the entrance.,A tourist who was knocked over by the fleeing driver identified Mr. Juval in a police lineup. ,A tourist who was knocked over by the fleeing driver says it was not Mr. Juval. ,A tourist who was knocked over by the fleeing driver said maybe it was Mr. Juval but it could have been someone else. ,Mr. Juval was convicted five years ago for threatening workers at a construction site in his neighborhood.,A shopkeeper in Mr. Juval’s neighborhood testified that Mr. Juval has a good reputation for telling the truth.,Truthfulness,Pate,,
31,A,Murder 1st - 5 counts,Homicide,Firing a gun into a public event and killing five people.,"Axel Watson is charged with firing multiple rounds from assault rifles into a crowded downtown crafts festival and concert. The Prosecution alleges Mr. Watson used a false identity online to book a fourth-floor hotel room, checked in, waited for the park below his window to fill up, and then fired from his window, killing five and wounding four others.",Markings on shell casings recovered from the hotel room match those test-fired with a rifle from Mr. Watson’s home.,Markings on shell casings recovered from the hotel room do not match those test-fired with the rifle found in Mr. Watson’s home.,Sales records at the gun store used by Mr. Watson show he bought rifle cartridges but do not specify the caliber or manufacturer.,The username and password used to book the shooter’s hotel room were later found on Mr. Watson’s personal computer.,The history on Mr. Watson's personal computer and Instagram account show that he posted a series of family photos and placed an order on Amazon over a 2- hour period that included the shooting.,The history on Mr. Watson’s computer includes a search for downtown concerts and events and for hotels in their vicinity. ,A hotel housekeeper saw a man she later identified as Mr. Watson walking near the shooter’s room carrying a long equipment case.,"A hotel housekeeper saw a man in the hall near the shooter’s room carrying a long equipment case, but said that he did not look like Mr. Watson. ",A hotel housekeeper saw someone she said looked a little like Mr. Watson in the hall near the shooter’s room carrying a long equipment case. ,Mr. Watson's former girlfriend says in her opinion he is a violent man.,The owner of a local gun range testifies that Mr. Watson is well regarded as a responsible gun owner with a reputation for non-violence.,Propensity,Pate,,
